id,age,sfr,metallicity
1396,9.00011,25.56,1
1397,7.05008,72.75,1
1399,8.80014,4.185,1
1409,9.74009,0.7839,0.2
1424,8.30005,69.18,0.2
1429,9.11003,3.614,2.5
1433,8.85008,3.112,1
1441,9.11003,0.1855,2.5
1445,8.9001,11.77,1
1446,9.34017,3.968,0.2
1447,9.15998,7.101,1
1449,9.40014,3.586,0.2
1452,9.54008,0.001109,0.2
1462,9.11003,2.624,1
1465,9.57008,0.000559,0.2
1474,8.10013,42.8,0.2
1476,8.70012,3.41,1
1485,9.6801,0.1144,1
1491,8.35016,30.84,1
1493,9.88014,0.06278,1
1496,9.51013,0.003491,0.2
1498,8.0001,24.32,0.2
1516,9.88014,0,0.2
1520,9.26019,12.2,1
1532,7.10012,145.8,0.2
1535,9.44008,0.01332,1
1540,8.35016,54.23,1
1549,9.83014,0.3303,1
1550,8.85008,6.491,0.2
1560,8.40013,10.52,0.2
1566,9.26019,2.186,0.2
1568,9.60011,0.000179,1
1572,9.00011,17.38,1
1580,7.15023,149.3,1
1581,9.21017,1.287,1
1585,8.65013,4.378,0.2
1586,9.70013,0.1165,1
1589,8.9001,17.29,0.2
1594,8.30005,31.08,0.2
1598,9.70013,0.06385,1
1602,8.80014,66.64,1
1603,8.95014,3.479,1
1604,9.34017,5.392,2.5
1606,9.06006,1.526,0.2
1608,9.26019,7.054,1
1612,9.44008,0.00917,1
1615,8.70012,8.103,0.2
1617,9.65014,0.05638,1
1618,9.11003,7.001,1
1627,9.15026,35.64,1
1632,9.54008,0.000539,0.2
1650,8.65013,7.164,1
1651,8.9001,13.36,1
1652,9.11003,41.04,2.5
1658,9.63014,0.05678,1
1667,9.26019,5.281,1
1673,9.57008,0.2268,1
1674,8.9001,12.73,0.2
1676,9.11003,23.08,1
1677,9.40014,8.49,0.2
1684,9.44008,0.5792,1
1688,8.80014,21.56,0.2
1694,9.30006,1.735,1
1700,7.70011,90.4,0.2
1702,9.44008,0.5274,0.2
1707,9.72012,0.02234,1
1710,9.23005,14.26,1
1712,9.48013,1.173,0.2
1714,9.81016,0,0.2
1715,9.35017,25.1,1
1717,9.21017,15.06,0.2
1719,9.21017,3.32,2.5
1721,9.40014,0.01158,0.2
1726,9.44008,0.01505,0.2
1727,9.06006,2.034,1
1743,9.38015,4.056,2.5
1752,8.9001,33.98,1
1753,9.40014,0.07854,1
1754,9.65014,0.1676,1
1755,8.95014,8.502,1
1761,9.70013,0.4139,0.2
1762,9.36014,0.07065,1
1767,8.9001,8.693,0.2
1770,8.80014,8.576,0.02
1778,8.75008,10.39,1
1780,9.36014,0.08449,2.5
1781,7.30004,146.6,0.2
1784,8.40013,14.17,0.2
1787,8.45005,5.178,0.2
1792,8.70012,10.81,0.2
1797,9.23005,0.1969,1
1806,9.44008,0.03013,1
1811,8.6001,22.52,1
1821,8.35016,23.64,1
1825,8.50007,25.7,0.2
1827,9.70013,0.07173,1
1838,8.70012,9.533,0.2
1845,9.54008,0.1288,0.2
1855,9.32006,6.711,1
1858,8.40013,15.61,0.2
1862,7.40011,227.1,0.02
1865,9.44008,0.00838,1
1890,9.35017,11.81,1
1894,9.70013,0.1699,1
1895,9.44008,0.006692,1
1896,9.06006,9.33,2.5
1897,9.35017,14.54,0.2
1904,9.21017,7.656,2.5
1915,9.11003,13.58,2.5
1916,9.88014,0,0.2
1920,8.40013,44.81,0.2
1921,9.10014,6.415,1
1925,9.40014,4.505,0.2
1936,9.40014,18.01,0.2
1938,8.75008,33.56,1
1941,8.85008,12.86,1
1944,8.6001,10.44,1
1947,8.25004,68.33,0.2
1948,9.41005,2.096,1
1953,8.9001,12.55,1
1954,9.00011,4.607,1
1960,8.9001,34.15,1
1962,9.05011,7.914,0.2
1966,9.06006,2.403,2.5
1970,7.40011,199.8,0.2
1977,7.60009,576.8,0.2
1981,8.45005,135.9,1
1982,8.9001,12.56,0.02
2005,9.11003,4.932,2.5
2010,9.38015,5.529,1
2014,7.50006,312.8,0.2
2016,8.6001,32.97,1
2021,8.0001,48.38,0.2
2033,8.6001,12.5,0.2
2039,9.00011,7.101,0.02
2044,9.40014,5.064,1
2049,9.83014,0,1
2057,9.28001,2.568,0.2
2060,9.28001,0.7005,0.2
2063,9.6801,0.05119,1
2066,9.40014,0.01115,1
2067,9.10014,13.45,1
2075,9.00011,5.332,0.2
2080,9.54008,0.1661,1
2085,9.54008,0.5571,1
2088,7.05008,1139,0.2
2089,9.36014,0.2663,1
2093,9.38015,0.06526,0.2
2103,9.41005,9.128,0.2
2110,9.21017,1.403,2.5
2114,9.63014,9.2e-05,0.2
2123,9.63014,0.06914,1
2124,8.6001,20.2,0.2
2134,8.50007,7.515,0.2
2139,9.26019,23.2,0.2
2141,8.45005,6.111,1
2144,8.65013,41.85,1
2151,9.48013,0.9372,0.2
2156,9.10014,5.92,1
2164,9.34017,0.3586,0.2
2173,9.32006,4.381,1
2185,9.41005,0.09375,1
2190,8.9001,7.356,0.2
2207,8.80014,7.348,1
2213,8.95014,19.96,1
2225,9.51013,0.2063,1
2231,9.80015,0,0.2
