id,mag,mass,zbest,zspec,ra,dec
775,22.6444,10.333,1.626,-99,150.139685,2.189252
776,24.2551,9.45573,2.722,-99,150.084574,2.190076
794,23.9869,10.2018,1.67,-99,150.114598,2.190258
801,23.3492,9.892,1.967,-99,150.197511,2.190162
803,20.541,10.4165,0.87,-99,150.119272,2.187906
809,23.924,9.42449,2.291,-99,150.07073,2.190172
817,22.1715,10.0086,0.861,-99,150.130633,2.19002
821,21.6958,9.13513,2.088,-99,150.136981,2.18879
824,23.7924,11.0957,2.51,-99,150.071963,2.190192
828,21.5633,10.0035,0.93,-99,150.061356,2.189309
834,24.3379,10.1133,2.498,-99,150.05398,2.190674
836,20.2844,10.5496,0.92,-99,150.151731,2.188684
853,21.3638,9.88527,0.72,-99,150.095629,2.189967
854,22.8523,10.6574,1.96,-99,150.139466,2.190714
856,20.5848,11.4853,1.614,-99,150.07381,2.189355
864,23.0308,10.3782,2.12,-99,150.190505,2.19065
865,23.0629,12.2613,2.887,-99,150.064658,2.19094
874,23.8819,9.91348,2.27,-99,150.193082,2.191141
875,21.6676,9.92638,0.9341,-99,150.20142,2.190359
886,20.2567,10.0081,0.35,-99,150.118854,2.189954
889,23.6161,10.2496,2.312,-99,150.192828,2.191078
894,22.9008,9.82239,6.32,-99,150.149366,2.191144
897,20.2438,8.56478,0.57,-99,150.10987,2.186726
898,23.0112,10.2115,2.01,-99,150.193139,2.190901
899,21.6231,10.4215,1.14,-99,150.189161,2.190903
902,24.0943,9.61418,2.434,-99,150.187223,2.191423
910,20.442,10.6189,0.92,-99,150.158207,2.190113
911,24.8152,9.30626,6.654,-99,150.177262,2.1918
913,23.526,9.72531,2.9,-99,150.193874,2.191612
915,24.6922,9.80481,3.5111,-99,150.176856,2.191606
928,23.3855,9.69972,2.3,-99,150.192983,2.191416
941,21.9031,10.0794,1.23,-99,150.059231,2.190995
944,19.6823,11.1596,0.738,1.009,150.146307,2.187831
947,20.3068,10.5001,1.72,-99,150.199765,2.190847
961,21.5244,10.6517,2.06,-99,150.149673,2.191051
963,21.9279,10.0943,0.9,-99,150.096186,2.191497
969,19.7175,10.7321,0.7189,-99,150.111603,2.187164
977,22.3422,10.5883,1.122,1.122,150.150857,2.191328
984,23.6557,10.1236,3.05,-99,150.116664,2.192238
998,22.4709,10.2112,1.9652,-99,150.166715,2.191634
1000,21.5323,9.96195,0.678,-99,150.084972,2.191447
1007,21.3013,9.94176,0.66,-99,150.090793,2.191415
1013,22.4385,10.3474,1.1,-99,150.089278,2.192084
1018,23.5728,9.46494,5.65,-99,150.133178,2.192815
1022,19.5859,10.7955,0.67,-99,150.082003,2.190038
1023,23.0905,10.2365,2.886,-99,150.198597,2.192364
1031,20.6068,10.7626,0.89,-99,150.163218,2.190778
1045,20.4877,9.36959,3.146,-99,150.111469,2.188776
1047,20.201,10.7682,0.91,-99,150.101136,2.19063
1051,21.5958,10.428,0.9302,-99,150.15901,2.191276
1054,20.888,10.6261,0.88,-99,150.172548,2.191997
1055,20.5513,10.4962,0.692,-99,150.095538,2.191703
1058,19.9151,10.6676,0.667,-99,150.155359,2.190103
1060,21.0821,10.5075,0.912,0.924,150.159507,2.191486
1071,20.1608,10.4697,0.62,-99,150.109591,2.188564
1080,24.397,9.24972,3.65,-99,150.117207,2.193431
1091,21.7526,9.84934,0.9,-99,150.157532,2.192793
1097,24.2682,9.82756,2.921,-99,150.080777,2.19376
1100,21.7726,10.1548,0.91,-99,150.151126,2.19315
1105,22.4781,9.58798,0.802,-99,150.068639,2.192845
1106,21.7952,9.98056,0.685,-99,150.086621,2.193406
