Field Gini Concentration
COSMOS 0.504693664799751 3.57616535107618
COSMOS 0.433492285980024 3.10393208720358
COSMOS 0.287995253794197 2.27855628892391
COSMOS 0.517034044130523 2.81661082728353
COSMOS 0.303455775671215 2.45671726779084
COSMOS 0.536113882926862 4.16546620982066
COSMOS 0.414133117056746 3.43670277893919
COSMOS 0.410450597439691 3.33677421879445
COSMOS 0.542555452114619 3.6982740584086
COSMOS 0.426854838166625 3.09427404602116
COSMOS 0.466351952522434 2.50937685750104
COSMOS 0.514834547419262 3.92994154337506
COSMOS 0.397682737305622 1.76568833537357
COSMOS 0.557578969862245 4.14091536316521
COSMOS 0.456952034793859 2.60294337630142
COSMOS 0.505596302674748 3.39662704068014
COSMOS 0.468824654664978 2.73190489953117
COSMOS 0.434817719526611 2.72551642819732
COSMOS 0.458057743740875 2.57918811562507
COSMOS 0.587685533909829 3.93396534865304
COSMOS 0.302737033545329 2.38117992962356
COSMOS 0.558251113315734 4.324763075627
COSMOS 0.506573127563305 3.74583895263448
COSMOS 0.913983990226315 2.87772473465474
COSMOS 0.408251481035817 3.19964992952288
COSMOS 0.502892959471363 3.60582894143029
COSMOS 0.45675427866082 2.82217379328401
COSMOS 0.502523946409853 3.33282851487779
COSMOS 0.34896117717144 3.06936221138445
COSMOS 0.514511563203042 4.09264900528416
COSMOS 0.317969831685057 3.08519240285789
COSMOS 0.546246233965843 4.67756008435656
COSMOS 0.529400438239552 4.11208859764104
COSMOS 0.556025871746221 4.12559690124942
COSMOS 0.414816921039937 2.68805818096841
COSMOS 0.452404595774733 1.4876160791946
COSMOS 0.473928758861614 3.35869289468362
COSMOS 0.647470519330448 3.38464402020785
COSMOS 0.570921994373696 3.04589574356244
COSMOS 0.462785369888802 2.60593158244362
COSMOS 0.572720567542585 3.32016185480376
COSMOS 0.310941664222591 3.42191729854469
COSMOS 0.194572453888236 2.43110254793077
COSMOS 0.49188446579584 4.42034030349224
COSMOS 0.434318729496727 2.64828305885273
COSMOS 0.521675223384875 4.03441935952638
COSMOS 0.407212506566423 3.1643832128396
COSMOS 0.543500486585641 2.7761404687301
COSMOS 0.391288035325712 2.69837621395388
COSMOS 0.431476135188837 1.7008310070439
COSMOS 0.5455349980767 3.84324611890726
COSMOS 0.53842464675898 3.99644254043675
COSMOS 0.429565051385261 2.33055999785874
COSMOS 0.521753822655817 4.26961795433654
COSMOS 0.46621966882317 2.61694463887785
COSMOS 0.489286841072509 3.82441939866726
COSMOS 0.510334024585621 3.9797224974608
COSMOS 0.496827900967057 3.68365660609118
COSMOS 0.431504447398111 2.52746896424258
COSMOS 0.491570486096947 3.36736909740178
COSMOS 0.487723710000718 4.01415972791321
COSMOS 0.518584125637661 3.98364888498071
COSMOS 0.519644112357215 4.00188101682422
COSMOS 0.63852175228358 3.77909230618638
COSMOS 0.516633444666705 4.48337147174367
COSMOS 0.570143274837996 4.07894066130402
COSMOS 0.583659797787842 3.72179116477291
COSMOS 0.543738274075748 4.42446948830113
COSMOS 0.549468611548199 4.37295679841886
COSMOS 0.51197747857927 3.79396829135322
COSMOS 0.499776706108087 3.73925312043399
COSMOS 0.478430845913084 2.53032361987291
COSMOS 0.420799412641731 3.32811612251115
COSMOS 0.499129789244193 4.35304033748129
COSMOS 0.473888250681885 3.68143809601857
COSMOS 0.532024096900706 3.83537791531855
COSMOS 0.273209206109946 2.44875279435377
COSMOS 0.442554457582634 3.04166952433528
COSMOS 0.501218284651318 3.73140505244007
COSMOS 0.264371273444971 2.72714017779752
COSMOS 0.794924240226036 3.92252242859633
COSMOS 0.488155017131553 4.53581705453209
COSMOS 0.546842597915828 3.70874573170081
COSMOS 0.477925570051773 3.90231277083458
COSMOS 0.526350163942276 4.54978248058594
COSMOS 0.521918432534619 3.37160587363381
COSMOS 0.552267794439526 3.51761094443611
COSMOS 0.53259685871677 4.26965256832123
COSMOS 0.588172292693884 3.95424401173611
COSMOS 0.48056841134592 2.28048074898767
COSMOS 0.497853526501371 2.85259383944598
COSMOS 0.561617961858348 4.27458759805665
COSMOS 0.575452840572902 5.13300193766119
COSMOS 0.505315816622831 2.9826252928467
COSMOS 0.479247446559465 3.02346481473027
COSMOS 0.442815466689815 3.62664446461288
COSMOS 0.582977242311545 4.62354491980617
COSMOS 0.625099957990268 3.72395580842811
COSMOS 0.51958570090629 4.20185652429797
COSMOS 0.53343322907099 4.02325003180664
COSMOS 0.469680254700602 3.56649749215048
COSMOS 0.539141413136099 4.13052183039241
COSMOS 0.390107204196791 3.41870115465862
COSMOS 0.496991781700126 2.76145194769621
COSMOS 0.614906260260142 3.94795369263235
COSMOS 0.520572530254272 4.17690515659152
COSMOS 0.827068445129493 3.9392734540606
COSMOS 0.474255235578541 2.6512703081833
COSMOS 0.40718425424314 3.17230982399595
COSMOS 0.49835868991704 3.30714808648347
COSMOS 0.586016775053439 4.38111368017735
COSMOS 0.539534463378534 4.48755291686871
COSMOS 0.505900818794292 3.73944789726814
COSMOS 0.526206095604528 4.46356091949962
COSMOS 0.554197050259387 4.25198241784372
COSMOS 0.49778590983259 3.49563889458926
COSMOS 0.566757637623593 4.42005490594445
COSMOS 0.374910050597076 2.38763789337199
COSMOS 0.509675651323672 3.38449938370261
COSMOS 0.2646545044258 2.62236927403832
COSMOS 0.432797452671926 2.60955851565901
COSMOS 0.454711494584815 2.5707752038418
COSMOS 0.316863617305472 2.40272480402155
COSMOS 0.504825465675948 3.20071930038653
COSMOS 0.382064980911795 3.03035181141994
COSMOS 0.763292156410257 3.92115350702972
COSMOS 0.533091031573899 4.00651552654355
COSMOS 0.487341691319983 3.59053050242974
COSMOS 0.460677301902152 2.96682916037946
COSMOS 0.474418750640496 3.61152572152052
COSMOS 0.549382627925734 4.05945493136025
COSMOS 0.480878366330212 3.14508412866238
COSMOS 0.441467800684915 2.27406479336096
COSMOS 0.457870785294377 2.92447593858883
COSMOS 0.365125578197182 2.59473134289105
COSMOS 0.657339575630341 2.74548820050807
COSMOS 0.544383164899372 4.42106522684447
COSMOS 0.501375710095235 3.9261388713901
COSMOS 0.476862867965249 2.87115476329502
COSMOS 0.344750910284621 3.17418514673769
COSMOS 0.5351850646459 3.33280608500698
COSMOS 0.207505533876848 2.28113130116482
COSMOS 0.470278246579713 2.23875053283445
COSMOS 0.439984468585113 3.28327576264955
COSMOS 0.392790920119267 2.58407661494444
COSMOS 0.567924294942259 3.88899590410743
COSMOS 0.42687415667252 2.71866622809938
COSMOS 0.359923891482772 2.93911433482959
COSMOS 0.542869549512971 4.54646118914866
COSMOS 0.379406031907122 2.41965287537221
COSMOS 0.948376751017364 0.101017926985484
COSMOS 0.504107906492562 3.86645070558478
COSMOS 0.561200938081285 4.60093743243201
COSMOS 0.459852581050581 3.97855078141132
COSMOS 0.452613454185252 2.94301783264313
COSMOS 0.529894405710029 3.53916277823403
COSMOS 0.485614638143533 4.57347549626008
COSMOS 0.468812600307147 3.60603613071067
COSMOS 0.535552367304385 4.14636173969041
COSMOS 0.453031157208643 2.42632103908433
COSMOS 0.559105087710989 3.86006768278138
COSMOS 0.381907888260657 2.14594275713137
COSMOS 0.540292924929752 4.0992087508749
COSMOS 0.442951160651037 2.93570841778463
COSMOS 0.279050472417821 2.61716490964938
COSMOS 0.302420897176423 2.77413434706563
COSMOS 0.486591874307997 4.27651612073905
COSMOS 0.279050472417821 2.07415567846894
COSMOS 0.45200081845697 3.33468674304062
COSMOS 0.511305724271851 4.09877276418548
COSMOS 0.423562661358486 2.69436447862111
COSMOS 0.488453532705564 3.93144129597699
COSMOS 0.434593640007029 2.60250157844504
COSMOS 0.238846934154848 2.34771712342606
COSMOS 0.484436964259139 3.35888500805209
COSMOS 0.225452592742015 2.42096332136318
COSMOS 0.558443863069498 4.47618188714429
COSMOS 0.527375635899257 4.44317709525295
COSMOS 0.4708809185544 2.75749559376582
COSMOS 0.464791014910707 4.11949900839361
COSMOS 0.409804603465096 3.44267857558878
COSMOS 0.186477586403116 2.65547938832146
COSMOS 0.416748644979649 2.70582136884731
COSMOS 0.393893320751983 2.54814720409942
COSMOS 0.451619449595375 3.3706677889994
COSMOS 0.423506029976604 2.03370797027217
COSMOS 0.402601683327861 2.76112963558682
COSMOS 0.383976726711154 3.29557080902537
COSMOS 0.489041271540916 4.14894152767135
COSMOS 0.268450383377946 2.3074452597728
COSMOS 0.375255527655895 3.0325426947542
